"41580197";"0001";"62";"1";"NSS TRANSPORTES";"08";"20210826";"01";"";"";"20210414";"4930201";"4744099";"AREA";"AV MORSE CAETANO";"1170";"";"MEDALHA MILAGROSA";"38160000";"MG";"4899";"34";"91688187";"";"";"";"";"NUNNES1000@HOTMAIL.COM";"";""
"15375991";"0001";"64";"1";"ZE SERVICOS E MANUTENCAO";"08";"20210414";"01";"";"";"20180531";"3321000";"3314707,3314710";"RUA";"UM";"26";"";"VILA DAVINA";"13177341";"SP";"7149";"11";"36821427";"";"";"";"";"west@westconsultoria.com.br";"";""
"00877761";"0014";"40";"1";"JOAO BATISTA PIRES";"02";"20210414";"00";"";"";"20210414";"5229099";"";"RUA";"WILLIAM MARTINS RAMOS";"126";"";"VALE DO SOL";"36574152";"MG";"5427";"31";"38922601";"";"";"";"";"JOBPIRES@YAHOO.COM.BR";"";""
"41580230";"0001";"54";"1";"";"02";"20210414";"00";"";"";"20210414";"0159801";"0121101,0121102,0131800,0132600,0133499,4633801,4724500";"ESTRADA";"DA CRUZINHA BAIXA";"3650";"";"PADILHA";"95615000";"RS";"8927";"51";"98602220";"";"";"";"";"MARCIATODESCHINI@OUTLOOK.COM";"";""
"41580241";"0001";"34";"1";"ADEGA 12POR8";"02";"20210414";"00";"";"";"20210414";"4723700";"4729601";"RUA";"MADRE MARIA SABINA";"91";"";"ADELIA AFONSO";"12010530";"SP";"7183";"11";"20468791";"";"";"";"";"NAYARACAVALHEIRO5@GMAIL.COM";"";""
"41580252";"0001";"14";"1";"";"02";"20210414";"00";"";"";"20210414";"9529199";"4789005";"2A RUA";"RUA 6 QD E LT 17A";"SN";"";"ARAGOIANIA";"75330000";"GO";"9235";"62";"94075337";"";"";"";"";"DJARBASCAMARGOS@GMAIL.COM";"";""
"41580263";"0001";"02";"1";"";"02";"20210414";"00";"";"";"20210414";"6319400";"6202300,6203100,6311900";"RUA";"QUINZE DE NOVEMBRO";"3057";"SALA  704";"CENTRO";"15015110";"SP";"7097";"17";"33530503";"";"";"";"";"COMERCIAL@ONDATTA.COM.BR";"";""
"41580276";"0001";"73";"1";"MARLETE ARAUJO DE SANTANA MESSIAS";"02";"20210414";"00";"";"";"20210414";"9700500";"";"RUA";"JOAO LUCAS MESSIAS";"215";"";"PEREQUE MIRIM";"11680000";"SP";"7209";"12";"38422744";"";"";"";"";"CHRISTIANELLERRODRIGUES@GMAIL.COM";"";""
"41580287";"0001";"53";"1";"";"08";"20210430";"01";"";"";"20210414";"5611203";"";"RUA";"ANTONIO DEL BUONI";"87";"";"JARDIM BONDANCA";"07162300";"SP";"6477";"76";"88989898";"";"";"";"";"HGHGYGY@GMAIL.COM";"";""
"41580298";"0001";"33";"1";"TATA - DOCES PERSONALIZADOS";"02";"20210414";"00";"";"";"20210414";"1091102";"";"RUA";"VEREADOR MARCO AURELIO BONFANT";"302";"APT APARTAMENTO 331";"PORTAL DO SOL";"25850000";"RJ";"5873";"24";"92085619";"";"";"";"";"THATHABERNARDES@LIVE.COM";"";""
